disasterType,disasterDesc,latitude,longitude,regions
Hail,Hail - Brisbane,-27.47093391,153.0234985,Queensland
Heatwave,Environmental - Heatwave Dec 1959,-27.47103882,153.0231934,Multiple
Flood,Flood - Brisbane River,-27.4712677,153.0091705,Queensland
Heatwave,Environmental - Heatwave Oodnadatta,-27.51801491,135.43396,South Australia
Hail,Hail - Toowoomba,-27.56375313,151.9540558,Queensland
Flood,Flood - Queensland Nov 2010,-27.56394386,151.9540558,Queensland
Drought,Environmental - Eastern and Northern Australia Severe Drought,-27.56520081,151.9551697,Multiple
Flood,"Flood - Brisbane, Ipswich and Maryborough",-27.61281967,152.7580261,Queensland
Severe Storm,Severe Storm - South-East Queensland Nov 2008,-27.6130867,152.758194,Queensland
Severe Storm,Severe Storm - Ipswich,-27.61335373,152.7585449,Queensland
Cyclone,Cyclone Glenda,-27.7224369,157.7197266,Queensland
Hail,Hail - Gold Coast,-27.92241287,153.3378754,Queensland
Flood,"Flood - Brisbane, Sunshine Coast, and Gold Coast",-27.96529579,153.3924866,Queensland
Flood,Flood - South-East Queensland Feb 2008,-27.99584007,152.6824951,Queensland
Flood,Flood - Boonah,-27.99690247,152.6821594,Queensland
Drought,Environmental - Drought 1918,-28.13012886,137.2961426,Multiple
Hail,Hail - South-East Queensland,-28.13527489,153.486557,Queensland
Cyclone,Cyclone - The Great Gold Coast Cyclone,-28.16656685,153.538147,Multiple
Severe Storm,Severe Storm - Northern New South Wales,-28.1733017,153.542984,New South Wales
Flood,"Flood - Sydney,  North Coast, and North Western Districts",-28.32561302,153.395401,New South Wales
Drought,Environmental - The Big Dry,-28.61345863,148.8867188,Multiple
Flood,Flood - North Coast New South Wales,-28.62035561,153.0040588,New South Wales
Cyclone,Cyclone Nancy,-28.63967705,153.6139374,Queensland
Flood,Flood - Northern New South Wales May 2009,-28.64416122,153.612381,New South Wales
Flood,Flood - South-East Queensland Dec 2007,-28.80575943,153.2768707,Queensland
Severe Storm,Severe Storm - South-East Queensland and Northern New South Wales,-28.80579758,153.2768707,Queensland
Severe Storm,"Severe Storm - South-East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory",-28.80579758,153.2768707,Multiple
Flood,Flood - Lismore,-28.80591011,153.2769165,New South Wales
Hail,Hail - Lismore,-28.80650711,153.276947,New South Wales
Flood,Flood - North-East New South Wales,-28.80650711,153.276947,New South Wales
Severe Storm,Severe Storm - Casino and Region,-28.86076164,153.0458984,New South Wales
Drought,Environmental - Eastern Australia Drought,-28.92163086,145.612793,Multiple
Flood,"Flood - Northern New South Wales, Moree",-29.46429825,149.8447876,New South Wales
Bushfire,"Bushfire - North Coast, Hunter and Sydney",-29.58524513,152.7775879,New South Wales
Severe Storm,"Severe Storm - Grafton, Kingscliff and Lismore",-29.69006538,152.9331207,New South Wales
Flood,"Flood - Grafton, Kempsey and North Coast New South Wales",-29.69111061,152.9332886,New South Wales
Drought,Environmental - Federation Drought,-30.04769897,145.9396362,Multiple
Flood,Flood - New South Wales - 2012,-30.29301643,153.1159363,New South Wales
Severe Storm,Severe Storm - Coffs Harbour,-30.29405403,153.1161194,New South Wales
Flood,Flood - Mid and North Coast,-30.29631233,153.1156769,New South Wales
Bushfire,"Bushfire - Sydney, Hunter, Pilliga",-30.34799194,148.890152,New South Wales
Heatwave,Environmental - Heatwave Dec 1913,-30.47708321,136.9116211,Multiple
Hail,Hail - Armidale and Tamworth,-30.51434326,151.6669617,New South Wales
Flood,Flood - Eastern New South Wales,-30.89574432,153.0127716,New South Wales
Flood,"Flood - Widespread New South Wales, Queensland",-31.08042908,152.8459167,Multiple
Severe Storm,Severe Storm - New England and Hunter Valley,-31.09020615,150.9302979,New South Wales
Bushfire,Bushfire - Boorabbin National Park,-31.23159218,120.1804733,Western Australia
Bushfire,"Bushfire - Coonabarabran, New South Wales 2013",-31.28676605,149.2005157,New South Wales
Bushfire,Bushfire - New South Wales and Other States,-31.49797058,145.8381958,New South Wales
Bushfire,Bushfire - North-Western Regions,-31.49797058,145.8381958,New South Wales
Severe Storm,Severe Storm - Nyngan,-31.53523827,147.1920776,New South Wales
Flood,"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",-31.54109001,147.1975708,Multiple
Severe Storm,"Severe Storm - Sydney, Wollongong and South Coast",-31.63124084,152.7038727,New South Wales
Flood,Flood - Hunter Valley,-31.82798195,147.7187347,New South Wales
Bushfire,"Bushfire - Perth Hills, January 2014",-31.87464142,116.1416245,Western Australia
Severe Storm,"Severe Storm - Perth, 2010",-31.90671539,115.8136139,Western Australia
Severe Storm,Severe Storm - Perth and Southern Western Australia,-31.95048714,115.8570099,Western Australia
Severe Storm,Severe Storm - Bunbury and South Perth,-32.0274353,115.7822495,Western Australia
Bushfire,"Bushfire - Perth Hills, Western Australia 2011",-32.10860443,116.0691833,Western Australia
Severe Storm,Severe Storm - Dubbo,-32.24010086,148.6098328,New South Wales
Heatwave,Environmental - Heatwave Dec 1895,-32.2499733,147.3815918,Multiple
Severe Storm,"Severe Storm - Perth, Mandurah and South-West Coast",-32.53684616,115.7422714,Western Australia
Hail,Hail - Singleton,-32.56196976,151.1753235,New South Wales
Flood,Flood - Bolwarra,-32.707578,151.575108,New South Wales
Severe Storm,Severe Storm - Eastern New South Wales,-32.72064972,152.1438293,New South Wales
Flood,Flood - Maitland,-32.7322731,151.5576782,New South Wales
Severe Storm,"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",-32.7326355,151.5579376,New South Wales
Severe Storm,Severe Storm - Hunter Valley and Mid-North Coast,-32.76039124,151.6027374,New South Wales
Hail,Hail - Hunter Valley,-32.82806015,151.6847076,New South Wales
Severe Storm,Severe Storm -  New South Wales East Coast Low,-32.92599487,151.7788696,New South Wales
Severe Storm,"Severe Storm - Newcastle, Sydney, Wollongong",-32.92599487,151.7788696,New South Wales
Hail,Hail - Lake Grace,-33.10052109,118.4666214,Western Australia
Heatwave,Environmental - South-Eastern Australia Heatwave 1939,-33.1315155,135.5578918,Multiple
Bushfire,Bushfire - Central Western New South Wales and Southern Queensland,-33.15795898,148.0520935,Multiple
Hail,Hail - Orange,-33.28357697,149.1012726,New South Wales
Heatwave,"Environmental - Heatwave, South-Eastern Australia, 2014",-33.28461838,140.9765625,Multiple
Flood,Flood - Central Coast,-33.39017487,151.4781189,Queensland
Landslide,Landslide - Somersby,-33.42005157,151.2840576,New South Wales
Bushfire,Bushfire - Blue Mountains and Illawarra,-33.59318924,150.5356445,New South Wales
Flood,"Flood - Sydney, Newcastle and Wollongong",-33.59460449,150.7513123,New South Wales
Severe Storm,"Severe Storm - Sydney, Hunter Valley and Northern Regions",-33.59631729,150.7569733,New South Wales
Hail,Hail - Port Broughton,-33.60050201,137.9333191,South Australia
Bushfire,Bushfire - New South Wales 2013,-33.64834976,150.3664398,New South Wales
Bushfire,Bushfire - Western Sydney and Central Coast,-33.65120697,151.0015869,New South Wales
Bushfire,Bushfire - Mt Ku-ring-gai,-33.65177917,151.1330872,New South Wales
Bushfire,Bushfire - Sydney and Region,-33.6717186,151.1949921,New South Wales
Severe Storm,"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia",-33.71191788,150.9577332,Multiple
Bushfire,Bushfire - Blue Mountains and Sydney Region,-33.71252823,150.3315277,New South Wales
Severe Storm,Severe Storm - Sydney Feb 2002,-33.71273804,151.2968445,New South Wales
Severe Storm,Severe Storm - Sydney Feb 1992,-33.73226166,151.1278381,New South Wales
Flood,Flood - Western Sydney,-33.75153351,150.6912231,New South Wales
Severe Storm,Severe Storm - Sydney Jan 1977,-33.80190277,150.9441681,New South Wales
Hail,Hail - Sydney Jan 1947,-33.81110382,151.2130737,New South Wales
Hail,Hail - Western Sydney,-33.81459808,151.0031281,New South Wales
Severe Storm,Severe Storm - Sydney and Region 2001,-33.84646606,151.2307587,New South Wales
Severe Storm,Severe Storm - Western Sydney,-33.85551834,150.862793,New South Wales
Landslide,Landslide - Gracetown,-33.85794449,114.9841995,Western Australia
Flood,Flood - Sydney Nov 1984,-33.85963821,151.2046814,New South Wales
Flood,Flood - Sydney Mar 1975,-33.85963821,151.2046814,New South Wales
Hail,Hail - Sydney Nov 1976,-33.86086655,151.0230408,New South Wales
Severe Storm,Severe Storm - Sydney Jan 1937,-33.8731575,151.2069397,New South Wales
Severe Storm,Severe Storm - Sydney Jan 1991,-33.8731575,151.2069397,New South Wales
Heatwave,Environmental - Heatwave Dec 1909,-33.87330246,151.2070618,Multiple
Heatwave,Environmental - Heatwave Dec 1926,-33.87330246,151.2070618,Multiple
Hail,Hail - Sydney Apr 1999,-33.9096756,151.2230225,New South Wales
Severe Storm,Severe Storm - Warwick,-33.91352081,150.9316711,Queensland
Severe Storm,Severe Storm - Sydney Apr 1998,-33.91579819,151.0357513,New South Wales
Hail,Hail - Sydney Dec 2007,-33.91594315,151.0356598,New South Wales
Severe Storm,Severe Storm - Sydney and Blue Mountains,-33.91601181,150.9922791,New South Wales
Hail,Hail - Western Sydney,-33.91615677,151.0357513,New South Wales
Bushfire,Bushfire - Sydney and Southern Regions,-34.05809784,151.0814514,New South Wales
Bushfire,Bushfire - Sydney,-34.06602859,151.0125427,New South Wales
Flood,Flood - Widespread New South Wales (including Queensland and South Australia),-34.10018539,141.9185333,New South Wales
Heatwave,Environmental - South Australia and Victoria Heatwave,-34.12544632,140.9765625,South Australia
Bushfire,Bushfire - Sydney and Wollongong,-34.13113022,150.9933472,New South Wales
Heatwave,Environmental - Heatwave Dec 1972,-34.20612335,142.1361389,Multiple
Severe Storm,Severe Storm - Illawarra and Sydney,-34.23423004,150.9191895,New South Wales
Bushfire,"Bushfire - Augusta and Margaret River, Western Australia 2011",-34.31492233,115.159256,Western Australia
Flood,Flood - Sydney and Wollongong,-34.42443466,150.8930969,New South Wales
Flood,Flood - Sydney Aug 1986,-34.42443466,150.8930969,New South Wales
Bushfire,Bushfire - Sydney and Southern New South Wales,-34.42498398,150.8931274,New South Wales
Heatwave,Environmental - Heatwave Dec 1920,-34.63772964,143.5528564,Multiple
Bushfire,Bushfire - Cootamundra and Deniliquin Regions,-34.63893127,148.0243835,New South Wales
Flood,Flood - Gawler River 2005,-34.64535522,138.5066986,South Australia
Bushfire,Bushfire - Eyre Peninsula,-34.71579361,135.8571014,South Australia
Severe Storm,Severe Storm - Sydney and Region 1998,-34.8499794,150.7465363,New South Wales
Flood,Flood - Nowra,-34.867905,150.596981,New South Wales
Flood,Flood - Murray River,-34.91437912,139.3115845,South Australia
Flood,Flood - Mid-North South Australia,-34.92729187,138.6278992,South Australia
Severe Storm,Severe Storm - Adelaide,-34.92745972,138.5999908,South Australia
Hail,Hail - Adelaide,-34.9287262,138.5999451,South Australia
Landslide,Landslide - Adelaide Hills,-34.99681473,138.6215363,South Australia
Bushfire,Bushfire - Black Sunday Mt Lofty Ranges,-35.00764465,138.7087402,South Australia
Bushfire,Bushfire - Mount Lofty Ranges,-35.00764465,138.7087402,South Australia
Bushfire,Bushfire - Black Christmas,-35.05125809,150.6684265,Multiple
Flood,Flood - Gundagai,-35.06316376,148.1075439,New South Wales
Bushfire,Bushfire - Australian Capital Territory and South-West New South Wales,-35.11680222,147.3616333,New South Wales
Drought,Environmental - World War II Drought,-35.11990738,147.3596191,Multiple
Drought,Environmental - Drought 1913,-35.33641434,143.5621185,Multiple
Bushfire,Bushfire - Canberra 2003,-35.34656525,149.035675,Australian Capital Territory
Flood,Flood - Woden Valley,-35.36168671,149.07164,Australian Capital Territory
Flood,Flood - Araluen and Braidwood,-35.440813,149.798584,New South Wales
Tornado,Tornado - Murray River Townships,-35.88181686,145.5750275,Multiple
Flood,Flood - Victoria Jan 2011,-36.05048752,145.2052765,Victoria
Flood,Flood - Victoria February 2012,-36.12789154,141.9927979,Victoria
Severe Storm,Severe Storm - Kosciuszko NP,-36.33946609,148.5736084,New South Wales
Landslide,Landslide - Thredbo,-36.50453186,148.3059845,New South Wales
Flood,Flood - North-Eastern Victoria,-36.5514946,145.9817047,Victoria
Bushfire,Bushfire - Central and Southern Victoria,-36.68604279,147.1508789,Victoria
Bushfire,"Bushfire - North-Eastern Victoria, Alpine Region",-36.72137451,146.7861481,Victoria
Bushfire,Bushfire - Longwood District,-36.80660629,145.4255676,Victoria
Bushfire,Bushfire - Victoria,-37.0141716,142.7177734,Victoria
Bushfire,Bushfire - Gippsland February 1932,-37.0245285,145.1369171,Victoria
Bushfire,Bushfire - Gippsland February 1965,-37.0245285,145.1369171,Victoria
Bushfire,Bushfire - Central Victoria and Alpine Fires,-37.04653931,143.736969,Victoria
Bushfire,"Bushfire - Grampians National Park, Victoria, 2014",-37.12911987,142.5196228,Victoria
Bushfire,Bushfire - Ash Wednesday,-37.40233612,144.5871124,Multiple
Severe Storm,Severe Storm - Ballarat,-37.56158829,143.8562317,Victoria
Flood,"Flood - Gnarr Creek, Ballarat",-37.56203079,143.8566589,Victoria
Bushfire,"Bushfire - Black Saturday, Victoria 2009",-37.56237411,145.3191986,Victoria
Bushfire,Bushfire - Black Friday,-37.56360245,145.4637756,Multiple
Bushfire,"Bushfire - Victoria, 2014",-37.56471634,144.8931885,Victoria
Bushfire,Bushfire - Western Districts and Streatham,-37.67930603,143.0588379,Victoria
Bushfire,Bushfire - Linton (near Ballarat),-37.68438339,143.5633545,Victoria
Severe Storm,Severe Storm - Orbost,-37.70148087,148.4568787,Victoria
Severe Storm,"Severe Storm - Melbourne, December 2011",-37.71207047,145.1486206,Victoria
Flood,Flood - Melbourne and Central Victoria,-37.73792267,144.9650879,Victoria
Bushfire,Bushfire - Wandilo,-37.73846054,140.7737122,South Australia
Bushfire,Bushfire - South-East Victoria,-37.75360107,145.6890869,Victoria
Heatwave,Environmental - Heatwave Dec 1938,-37.80978394,144.9536133,Multiple
Severe Storm,Severe Storm - South Eastern Australia Nov 1994,-37.8119545,144.9635773,Multiple
Severe Storm,Severe Storm - South Eastern Australia,-37.8119545,144.9635773,Multiple
Severe Storm,"Severe Storm - Melbourne, September 2011",-37.81229401,144.9632263,Victoria
Heatwave,Environmental - South-Eastern Australia Heatwave 2009,-37.81310654,144.9633942,Multiple
Flood,"Flood - Melbourne, Yarra Valley",-37.81361008,144.9630585,Victoria
Severe Storm,"Severe Storm - Melbourne, February 2011",-37.81795502,144.9536133,Victoria
Severe Storm,"Severe Storm - Melbourne, 2010",-37.81795502,144.9536133,Victoria
Bushfire,Bushfire - Southern Victoria and Dandenong Ranges,-37.85620117,145.3159332,Victoria
Bushfire,Bushfire - Dandenong Ranges and Mornington Peninsula,-37.88122559,145.3422699,Victoria
Bushfire,Bushfire - Lara and Melbourne Fringe,-38.0235939,144.4078674,Victoria
Bushfire,Bushfire - Red Tuesday,-38.19710922,146.5346222,Victoria
Flood,Flood - Gippsland June 2012,-38.20797348,146.7443848,Victoria
Flood,Flood - Gippsland June 2007,-38.2273941,146.7471313,Victoria
Severe Storm,Severe Storm - Southern States Windstorms,-38.22995377,143.8007355,Multiple
Bushfire,Bushfire - Black Thursday Victoria,-38.26670456,146.7412109,Victoria
Drought,Environmental - Tasmania and Victoria Drought,-38.33088303,141.6000366,Multiple
Bushfire,Bushfire - Widespread Victoria,-38.60105896,146.3005219,Victoria
Flood,Flood - Tasmania,-41.05178452,145.9071045,Tasmania
Bushfire,Bushfire - Dunalley - Jan 2013,-42.87797546,147.8100586,Tasmania
Flood,Flood - Southern Tasmania,-42.881279,147.323914,Tasmania
Bushfire,Bushfire - Black Tuesday Tasmania,-43.16512299,146.2417603,Tasmania
