year,temp,sea temp,rainfall
2016,0.99,0.78,66.06
2017,1.05,0.5,28.41
2018,1.11,0.46,-60.19
2019,1.51,0.33,-190.32
2020,1.13,0.6,20.56
2021,0.57,0.52,41.71
2022,0.51,0.8,123.21
2023,0.99,0.54,7.03
2024,1.45,0.9,135.52
2025,1.23,0.93,38.49
